model,column,search_type,r2_score,rmse,params,run
CatBoost,1,grid,0.7364078235517364,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",0
CatBoost,1,grid,0.7364078235517364,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",1
CatBoost,1,grid,0.7364078235517364,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",2
CatBoost,1,grid,0.7364078235517364,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",3
CatBoost,1,grid,0.7364078235517364,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",4
KNN,1,optuna,0.4727381874252798,3.7649476863671136,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 8, 'p': 2, 'weights': 'uniform'}",0
KNN,1,optuna,0.4572473267102732,3.819854076102088,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",2
KNN,1,optuna,0.4572473267102732,3.819854076102088,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",3
KNN,1,optuna,0.4572473267102732,3.819854076102088,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",3
KNN,1,optuna,0.4572473267102732,3.819854076102088,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",5
LightGBM,1,optuna,0.5467968945036918,3.4905368359300764,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.026262783255411357, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 119, 'n_jobs': None, 'num_leaves': 62, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",4
LightGBM,1,optuna,0.5447912461310331,3.4982519873054074,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.02186051612151963, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 168, 'n_jobs': None, 'num_leaves': 81, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",3
LightGBM,1,optuna,0.5439488167896416,3.5014875005473645,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.05939088011732095, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 59, 'n_jobs': None, 'num_leaves': 58, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",8
LightGBM,1,optuna,0.5418901575946059,3.509381628656269,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.03908053210549874, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 80, 'n_jobs': None, 'num_leaves': 96, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",4
LightGBM,1,optuna,0.5407782065349926,3.5136381356990243,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.02806662504681938, 'max_depth': -1, 'min_child_samples': 20, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 161, 'n_jobs': None, 'num_leaves': 101, 'objective': None, 'random_state': 42, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0}",7
LinearRegression,1,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",0
LinearRegression,1,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",1
LinearRegression,1,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",2
LinearRegression,1,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",3
LinearRegression,1,optuna,0.5779012483503813,3.368626189915828,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': None, 'positive': False}",4
MLP,1,optuna,0.4181840360177031,3.95492820124383,"{'units_1': 124, 'units_2': 25, 'dropout': 0.11991329581386956, 'l2_reg': 0.003907144203554788}",3
MLP,1,optuna,0.4095498127525048,3.9841659477350966,"{'units_1': 88, 'units_2': 32, 'dropout': 0.1123952431559816, 'l2_reg': 0.009173367873056483}",6
MLP,1,optuna,0.4080877585978888,3.989095631049977,"{'units_1': 127, 'units_2': 49, 'dropout': 0.11078991718558888, 'l2_reg': 0.00627037703852595}",0
MLP,1,optuna,0.3849615972519091,4.066276474160389,"{'units_1': 78, 'units_2': 37, 'dropout': 0.1017508790795701, 'l2_reg': 0.004484315247658864}",8
MLP,1,optuna,0.380118305620478,4.082255592575583,"{'units_1': 128, 'units_2': 62, 'dropout': 0.1092773769402712, 'l2_reg': 0.005703191842758662}",9
RandomForest,1,optuna,0.709108066817816,2.796479408938029,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 123, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",3
RandomForest,1,optuna,0.7090766317295836,2.796630504915846,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 10, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 131, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",1
