model,column,search_type,r2_score,rmse,params,run
CatBoost,1,grid,0.7364078235517364,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",0
CatBoost,2,grid,0.7364078235517365,2.66202448018256,"{'loss_function': 'RMSE', 'silent': True, 'depth': 3, 'iterations': 100, 'learning_rate': 0.1}",0
XGBoost,3,optuna,0.9896392767332935,24.775989685713075,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.19016755551147096, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 109, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",1
CatBoost,4,optuna,0.8414179121402463,28.1592536999606,"{'iterations': 110, 'learning_rate': 0.06141252698429226, 'depth': 4, 'loss_function': 'RMSE', 'silent': True}",3
SVR,5,optuna,1.0,0.0,"{'C': 1.4432366938922103, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.08204747050198714, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0
MLP,6,optuna,0.9675623067004816,0.0528309505681082,"{'units_1': 56, 'units_2': 55, 'dropout': 0.1407342531603813, 'l2_reg': 0.004358139127776303}",7
MLP,7,optuna,0.9336986328663216,2.381809975414741,"{'units_1': 93, 'units_2': 56, 'dropout': 0.11146907903919638, 'l2_reg': 0.007912832475591583}",6
MLP,8,optuna,0.2521012078586748,0.0151627220894722,"{'units_1': 80, 'units_2': 56, 'dropout': 0.12458638031701079, 'l2_reg': 0.007203083951023517}",9
MLP,9,grid,0.1585825095806684,0.0013578615627012,"{'units_1': 64, 'units_2': 32, 'dropout': 0.2, 'l2_reg': 0.001}",5
XGBoost,10,optuna,0.775303919065162,0.0046898150012884,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.041619220535512765, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 115, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",9
CatBoost,11,optuna,0.8568607176783439,0.0172218475699263,"{'iterations': 102, 'learning_rate': 0.10716196609574402, 'depth': 6, 'loss_function': 'RMSE', 'silent': True}",0
MLP,12,optuna,0.3751467554240409,0.0250517311217759,"{'units_1': 128, 'units_2': 50, 'dropout': 0.1845997898409908, 'l2_reg': 0.006120190420651172}",6
XGBoost,13,optuna,0.9858578142549383,30.35224219658705,"{'objective': 'reg:squarederror', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.13437482925949826, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 166, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",8
