model,column,score,r2_score,rmse,repeat,train_time,pred_time,params
LinearRegression,0,0.6589214488328242,0.6589214488328242,3.528913268175132,0,0.1317427158355713,0.0027725696563720703,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
LinearRegression,0,0.6536478913894193,0.6536478913894193,3.3330276193119266,1,0.020921945571899414,0.002297639846801758,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
LinearRegression,0,0.7193559848746448,0.7193559848746448,2.837164385716732,2,0.02293229103088379,0.0317072868347168,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
KNN,0,0.35347091917916607,0.35347091917916607,3.8788372886788354,0,0.04123878479003906,0.01910877227783203,"{""n_neighbors"": 9, ""weights"": ""uniform""}"
LinearRegression,1,0.5942700243090718,0.5942700243090718,3.5337284162642564,0,0.041239261627197266,0.02463531494140625,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
LinearRegression,1,0.72083138954795,0.72083138954795,2.9787639641011032,1,0.009201526641845703,0.03475332260131836,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
LinearRegression,1,0.7332677977956177,0.7332677977956177,3.321222118301247,2,0.051345109939575195,0.0028295516967773438,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
KNN,0,0.31651071658271424,0.31651071658271424,5.176810810195115,1,0.02164292335510254,0.02658247947692871,"{""n_neighbors"": 10, ""weights"": ""distance""}"
LinearRegression,2,0.9321119129910924,0.9321119129910924,63.37475128779966,0,0.04396224021911621,0.023372173309326172,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
LinearRegression,2,0.9151111734588643,0.9151111734588643,70.86858494910786,1,0.029237031936645508,0.029872894287109375,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
LinearRegression,2,0.9600785172891955,0.9600785172891955,55.418290314358124,2,0.04457831382751465,0.00849151611328125,"{""copy_X"": true, ""fit_intercept"": true, ""n_jobs"": null, ""positive"": false}"
