column,task_type,search_type,params,r2_score,rmse
1,regression,optuna,"{'iterations': 175, 'depth': 6, 'learning_rate': 0.13324407184425638, 'l2_leaf_reg': 4.596210170627289}",0.6776850949300753,2.94364871579666
2,regression,optuna,"{'iterations': 123, 'depth': 5, 'learning_rate': 0.1062257792419619, 'l2_leaf_reg': 8.838060749870777}",0.7036456876174078,2.822613488416056
3,regression,optuna,"{'iterations': 212, 'depth': 6, 'learning_rate': 0.11331565209593487, 'l2_leaf_reg': 7.550386077198681}",0.9733654117092659,39.72454838704046
4,regression,optuna,"{'iterations': 196, 'depth': 5, 'learning_rate': 0.09995817918438712, 'l2_leaf_reg': 4.438470502312681}",0.8190462506897048,30.080002491545123
6,regression,optuna,"{'iterations': 138, 'depth': 6, 'learning_rate': 0.13021946636107, 'l2_leaf_reg': 9.273757720724733}",0.9509995463541399,0.06493270474827084
8,regression,optuna,"{'iterations': 146, 'depth': 4, 'learning_rate': 0.03606460205087743, 'l2_leaf_reg': 6.4462608041290315}",0.20129933531372002,0.015669234571309185
9,regression,optuna,"{'iterations': 148, 'depth': 7, 'learning_rate': 0.040916702059627476, 'l2_leaf_reg': 6.734986759297917}",-0.19911500415364047,0.001620989291069883
10,regression,optuna,"{'iterations': 179, 'depth': 4, 'learning_rate': 0.17537658451257948, 'l2_leaf_reg': 8.759229055258388}",0.7144032506950719,0.005287307788606873
11,regression,optuna,"{'iterations': 224, 'depth': 6, 'learning_rate': 0.07585850439746696, 'l2_leaf_reg': 1.1249543650933829}",0.8371703539133417,0.018368219592520732
12,regression,optuna,"{'iterations': 126, 'depth': 6, 'learning_rate': 0.051463025082502216, 'l2_leaf_reg': 3.265476493017303}",0.27034349945966063,0.02707122791030587
13,regression,optuna,"{'iterations': 281, 'depth': 6, 'learning_rate': 0.17717126926067672, 'l2_leaf_reg': 3.4502436829118794}",0.971536863326041,43.059986527872645
1,regression,optuna,"{'iterations': 273, 'depth': 5, 'learning_rate': 0.0314651950761795, 'l2_leaf_reg': 2.7908482980181812}",0.6857774497285565,2.906460743618085
2,regression,optuna,"{'iterations': 109, 'depth': 6, 'learning_rate': 0.11650576864373216, 'l2_leaf_reg': 6.31175422870934}",0.6930764072405324,2.8725058616883996
3,regression,optuna,"{'iterations': 265, 'depth': 4, 'learning_rate': 0.11706507315187481, 'l2_leaf_reg': 4.234465972117717}",0.9753635647161282,38.20541389677602
4,regression,optuna,"{'iterations': 202, 'depth': 4, 'learning_rate': 0.14359913616170372, 'l2_leaf_reg': 6.28252749408887}",0.8157454381575471,30.353110254638228
6,regression,optuna,"{'iterations': 105, 'depth': 6, 'learning_rate': 0.14460252175592936, 'l2_leaf_reg': 2.0135465934056698}",0.950196562965041,0.0654625774784583
8,regression,optuna,"{'iterations': 158, 'depth': 8, 'learning_rate': 0.14824523366913447, 'l2_leaf_reg': 7.251181041442397}",0.1837629388951032,0.0158403186625151
9,regression,optuna,"{'iterations': 169, 'depth': 6, 'learning_rate': 0.01695380039026312, 'l2_leaf_reg': 7.844140806249469}",-0.14277332537223386,0.0015824491899930695
10,regression,optuna,"{'iterations': 118, 'depth': 4, 'learning_rate': 0.14701107278100536, 'l2_leaf_reg': 9.910195545469787}",0.6876368217020703,0.0055295256782920904
11,regression,optuna,"{'iterations': 144, 'depth': 5, 'learning_rate': 0.17744559860899423, 'l2_leaf_reg': 2.589562487782357}",0.8539102767993946,0.017398433854647188
12,regression,optuna,"{'iterations': 259, 'depth': 5, 'learning_rate': 0.04241084998088052, 'l2_leaf_reg': 4.511115975391858}",0.27557982785842927,0.02697391562865519
13,regression,optuna,"{'iterations': 294, 'depth': 6, 'learning_rate': 0.12522017556837528, 'l2_leaf_reg': 3.9322140082252797}",0.9729361345757537,41.988216044430324
